SentenceId,Phrase,Sentiment
1,"['seri', 'escapad', 'demonstr', 'adag', 'good', 'goos', 'also', 'good', 'gander', 'occasion', 'amus', 'none', 'amount', 'much', 'stori']",1
2,"['thi', 'quiet', 'introspect', 'entertain', 'independ', 'worth', 'seek']",4
3,"['even', 'fan', 'ismail', 'merchant', 'work', 'suspect', 'would', 'hard', 'time', 'sit', 'thi', 'one']",1
4,"['posit', 'thrill', 'combin', 'ethnographi', 'intrigu', 'betray', 'deceit', 'murder', 'shakespearean', 'tragedi', 'juici', 'soap', 'opera']",3
5,"['aggress', 'self', 'glorif', 'manipul', 'whitewash']",1
6,"['comedi', 'drama', 'nearli', 'epic', 'proport', 'root', 'sincer', 'perform', 'titl', 'charact', 'undergo', 'midlif', 'crisi']",4
7,"['narr', 'troubl', 'everi', 'day', 'plod', 'mess']",1
8,"['import', 'earnest', 'thick', 'wit', 'play', 'like', 'read', 'bartlett', 'familiar', 'quotat']",3
9,"['doe', 'n', 'leav', 'much']",1
10,"['could', 'hate', 'reason']",1
11,"['littl', 'recommend', 'snow', 'dog', 'unless', 'one', 'consid', 'clich', 'dialogu', 'pervers', 'escap', 'sourc', 'high', 'hilar']",1
12,"['kung', 'pow', 'oedekerk', 'realiz', 'hi', 'childhood', 'dream', 'martial', 'art', 'flick', 'prof', 'sometim', 'dream', 'youth', 'remain']",1
13,"['perform', 'absolut', 'joy']",4
14,"['fresnadillo', 'ha', 'someth', 'seriou', 'say', 'way', 'extravag', 'chanc', 'distort', 'perspect', 'throw', 'u', 'path', 'good', 'sens']",3
15,"['still', 'like', 'moonlight', 'mile', 'better', 'judgment', 'damn']",3
16,"['welcom', 'relief', 'basebal', 'movi', 'tri', 'hard', 'mythic', 'thi', 'one', 'sweet', 'modest', 'ultim', 'win', 'stori']",3
17,"['bilingu', 'charmer', 'like', 'woman', 'inspir']",3
18,"['like', 'le', 'dizzili', 'gorgeou', 'companion', 'mr', 'wong', 'mood', 'love', 'veri', 'much', 'hong', 'kong', 'movi', 'despit', 'mainland', 'set']",2
19,"['inept', 'big', 'screen', 'remak', 'aveng', 'wild', 'wild', 'west']",1
20,"['everyth', 'expect', 'noth']",2
21,"['best', 'indi', 'year', 'far']",4
22,"['hatfield', 'hick', 'make', 'oddest', 'coupl', 'thi', 'sens', 'movi', 'becom', 'studi', 'gambl', 'publish', 'world', 'offer', 'case', 'studi', 'exist', 'apart', 'movi', 'polit', 'ramif']",3
23,"['like', 'go', 'hous', 'parti', 'watch', 'host', 'defend', 'froth', 'ex', 'girlfriend']",1
24,"['chuck', 'norri', 'grenad', 'gag', 'occur', '7', 'time', 'dure', 'windtalk', 'good', 'indic', 'seriou', 'mind', 'film']",2
25,"['plot', 'romant', 'comedi', 'boilerpl', 'start', 'finish']",2
26,"['arriv', 'impecc', 'pedigre', 'mongrel', 'pep', 'almost', 'indecipher', 'plot', 'complic']",2
27,"['film', 'clearli', 'mean', 'preach', 'exclus', 'convert']",2
28,"['import', 'earnest', 'offer', 'opportun', 'occasion', 'smile', 'chuckl', 'doe', 'n', 'give', 'u', 'reason', 'theater', 'beyond', 'wild', 'wit', 'actor', 'perform']",1
29,"['latest', 'vapid', 'actor', 'exercis', 'appropri', 'structur', 'arthur', 'schnitzler', 'reigen']",1
30,"['vaudevil', 'show', 'well', 'construct', 'narr', 'term', 'inoffens', 'actual', 'rather', 'sweet']",2
31,"['noth', 'run', 'mill', 'action', 'flick']",2
32,"['hamper', 'paralyz', 'self', 'indulg', 'script', 'aim', 'poetri', 'end', 'sound', 'like', 'satir']",0
33,"['ice', 'age', 'first', 'comput', 'gener', 'featur', 'cartoon', 'feel', 'like', 'movi', 'make', 'glacial', 'pace', 'earli']",2
34,"['veri', 'littl', 'sens', 'go', 'maker', 'serv', 'clich', 'consider', 'dash']",2
35,"['cattaneo', 'follow', 'runaway', 'success', 'hi', 'first', 'film', 'full', 'monti', 'someth', 'differ']",2
36,"['unnam', 'easili', 'substitut', 'forc', 'serv', 'whatev', 'terror', 'hero', 'horror', 'movi', 'tri', 'avoid']",1
37,"['almost', 'feel', 'movi', 'interest', 'entertain', 'amus', 'u']",1
38,"['movi', 'progress', 'rambl', 'incoher', 'give', 'new', 'mean', 'phrase', 'fatal', 'script', 'error']",0
39,"['n', 'judg', 'thi', 'one', 'soon', 'dark', 'gritti', 'stori', 'take', 'total', 'unexpect', 'direct', 'keep', 'go']",3
40,"['could', 'young', 'romant', 'date']",3
41,"['tartakovski', 'team', 'ha', 'freakish', 'power', 'visual', 'charm', 'five', 'writer', 'slip', 'modern', 'rut', 'narr', 'banal']",0
42,"['vincent', 'gallo', 'right', 'home', 'thi', 'french', 'shocker', 'play', 'hi', 'usual', 'bad', 'boy', 'weirdo', 'role']",3
43,"['horror', 'movi', 'primari', 'goal', 'frighten', 'disturb', 'work', 'spectacularli', 'well', 'shiver', 'induc', 'nerv', 'rattl', 'ride']",4
44,"['thi', '100', 'minut', 'movi', 'onli', 'ha', '25', 'minut', 'decent', 'materi']",1
45,"['fortun', 'still', 'option']",2
46,"['le', 'sensat', 'true', 'crime', 'hell', 'jaunt', 'purist', 'might', 'like', 'experiment', 'storytel', 'lrb', 'though', 'le', 'horrifi', 'rrb']",3
47,"['tricki', 'satisfi', 'ani', 'david', 'mamet', 'airless', 'cinemat', 'shell', 'game']",3
48,"['sure', 'filmmak', 'would', 'disagre', 'honestli', 'n', 'see', 'point']",1
49,"['jone', 'ha', 'tackl', 'meati', 'subject', 'drawn', 'engag', 'charact', 'pepper', 'page', 'memor', 'zinger']",4
50,"['bloodi', 'sunday', 'ha', 'grace', 'call', 'prevent', 'rather', 'place', 'blame', 'make', 'one', 'best', 'war', 'movi', 'ever', 'made']",4
51,"['take', 'clunki', 'tv', 'movi', 'approach', 'detail', 'chapter', 'life', 'celebr', 'irish', 'playwright', 'poet', 'drinker']",1
52,"['final', 'come', 'miramax', 'deep', 'shelf', 'coupl', 'abort', 'attempt', 'wake', 'reno', 'make', 'strong', 'case', 'let', 'sleep', 'dog', 'lie']",2
53,"['thank', 'larg', 'william', 'interest', 'develop', 'process', '60', 'minut', 'rest', 'overexpos', 'wast', 'film']",0
54,"['come', 'across', 'relic', 'bygon', 'era', 'convolut', 'feel', 'silli', 'rather', 'plausibl']",0
55,"['perhap', 'clich', 'call', 'film', 'refresh']",4
56,"['lead', 'perform', 'oscar', 'size']",4
57,"['run', 'life']",0
58,"['mark', 'pellington', 'latest', 'pop', 'thriller', 'kooki', 'overeag', 'spooki', 'subtli', 'love', 'myth']",3
